(0, 7, 8, 9, AP4); 13,00
(1, 0, 7, 8, 9, AP4); 15,00
(2, 0, 7, 8, 9, AP4); 16,00
(3, 5, 6, 8, 9, AP4); 13,00
(5, 6, 8, 9, AP4); 11,00
(6, 8, 9, AP4); 9,00
(7, 8, 9, AP4); 10,00
(8, 9, AP4); 4,00
(9, AP4); 2,00
(AP4); 0,00
(11, AP4); 2,00
(12, 11, AP4); 3,00
(13, 12, 11, AP4); 4,00
(14, 9, AP4); 5,00
(15, 14, 9, AP4); 8,00
(17, 40, 13, 12, 11, AP4); 15,00
(18, 40, 13, 12, 11, AP4); 18,00
(19, 20, 22, 40, 13, 12, 11, AP4); 17,00
(20, 22, 40, 13, 12, 11, AP4); 16,00
(21, 22, 40, 13, 12, 11, AP4); 16,00
(22, 40, 13, 12, 11, AP4); 12,00
(23, 22, 40, 13, 12, 11, AP4); 14,00
(25, 26, 28, 30, 35, 36, AP4); 13,00
(26, 28, 30, 35, 36, AP4); 11,00
(27, 33, 35, 36, AP4); 10,00
(28, 30, 35, 36, AP4); 10,00
(30, 35, 36, AP4); 8,00
(31, 30, 35, 36, AP4); 10,00
(32, 33, 35, 36, AP4); 8,00
(33, 35, 36, AP4); 7,00
(34, 36, AP4); 5,00
(35, 36, AP4); 4,00
(36, AP4); 3,00
(37, 12, 11, AP4); 5,00
(38, 37, 12, 11, AP4); 8,00
(39, 38, 37, 12, 11, AP4); 9,00
(40, 13, 12, 11, AP4); 9,00
