(0, 7, AP1); 9,00
(1, 0, 7, AP1); 11,00
(2, 0, 7, AP1); 12,00
(3, 1, 0, 7, AP1); 14,00
(5, 3, 1, 0, 7, AP1); 16,00
(6, 8, 7, AP1); 17,00
(7, AP1); 6,00
(8, 7, AP1); 12,00
(9, 14, AP1); 10,00
(11, 12, 13, 14, AP1); 13,00
(12, 13, 14, AP1); 12,00
(13, 14, AP1); 11,00
(14, AP1); 7,00
(15, AP1); 5,00
(AP1); 0,00
(17, AP1); 8,00
(18, AP1); 7,00
(19, AP1); 8,00
(20, 19, AP1); 9,00
(21, 20, 19, AP1); 13,00
(22, 20, 19, AP1); 13,00
(23, 22, 20, 19, AP1); 15,00
(25, 22, 20, 19, AP1); 16,00
(26, 25, 22, 20, 19, AP1); 18,00
(27, 31, 28, 26, 25, 22, 20, 19, AP1); 21,00
(28, 26, 25, 22, 20, 19, AP1); 19,00
(30, 35, 36, 11, 12, 13, 14, AP1); 20,00
(31, 28, 26, 25, 22, 20, 19, AP1); 20,00
(32, 33, 39, 38, 40, 17, AP1); 20,00
(33, 39, 38, 40, 17, AP1); 19,00
(34, 37, 12, 13, 14, AP1); 16,00
(35, 36, 11, 12, 13, 14, AP1); 16,00
(36, 11, 12, 13, 14, AP1); 15,00
(37, 12, 13, 14, AP1); 14,00
(38, 40, 17, AP1); 15,00
(39, 38, 40, 17, AP1); 16,00
(40, 17, AP1); 14,00
